"ID","TOKEN","IS_PUNCT"
"790","δὲ","FALSE"
"791","τῷ","FALSE"
"792","ταῦτα","FALSE"
"793","εἰπεῖν","FALSE"
"794","προενεγκάμενος","FALSE"
"795","πίνακα","FALSE"
"796","πολυτίμητον","FALSE"
"797","βασιλικόν","FALSE"
"798",",","TRUE"
"799","ὃν","FALSE"
"800","ἑρμηνεῦσαι","FALSE"
"801","λόγος","FALSE"
"802","οὐ","FALSE"
"803","δύναται","FALSE"
"804",",","TRUE"
"805","ἐξ","FALSE"
"806","ἐλέφαντος","FALSE"
"807","καὶ","FALSE"
"808","ἐβένου","FALSE"
"809","καὶ","FALSE"
"810","χρυσοῦ","FALSE"
"811","καὶ","FALSE"
"812","ἀργύρου","FALSE"
"813",",","TRUE"
"814","τριχάρακτον","FALSE"
"815","ζώναις","FALSE"
"816",",","TRUE"
"817","ἐπὶ","FALSE"
"818","μὲν","FALSE"
"819","τοῦ","FALSE"
"820","πρώτου","FALSE"
"821","κύκλου","FALSE"
"822","δεκανοὺς","FALSE"
"823","ἔχοντα","FALSE"
"824","τοὺς","FALSE"
"825","λϛʹ","FALSE"
"826",",","TRUE"
"827","ἐπὶ","FALSE"
"828","δὲ","FALSE"
"829","τοῦ","FALSE"
"830","δευτέρου","FALSE"
"831","ζῴδια","FALSE"
"832","τὰ","FALSE"
"833","ιβʹ","FALSE"
"834",",","TRUE"
"835","ἐπὶ","FALSE"
"836","δὲ","FALSE"
"837","τοῦ","FALSE"
"838","μέσου","FALSE"
"839","ἥλιον","FALSE"
"840","καὶ","FALSE"
"841","σελήνην","FALSE"
"842",",","TRUE"
"843","ἔθηκεν","FALSE"
"844","ἐπὶ","FALSE"
"845","δίφρου","FALSE"
"846","·","TRUE"
"847","εἶτα","FALSE"
"848","γλωσσόκομον","FALSE"
"849","ἀνοίξας","FALSE"
"850","ἐλεφάντινον","FALSE"
"851","ὡσαύτως","FALSE"
"852",",","TRUE"
"853","μικρόν","FALSE"
"854",",","TRUE"
"855","ἐκκενώσας","FALSE"
"856","τοὺς","FALSE"
"857","ἑπτὰ","FALSE"
"858","ἀστέρας","FALSE"
"859","καὶ","FALSE"
"860","τὸν","FALSE"
"861","ὡροσκόπον","FALSE"
"862","ἐξ","FALSE"
"863","ὀκτὼ","FALSE"
"864","λιθοτέχνων","FALSE"
"865","μετάλλων","FALSE"
"866","συνέθηκε","FALSE"
"867","τὸν","FALSE"
"868","τηλικοῦτον","FALSE"
"869","οὐρανόν","FALSE"
