"ID","TOKEN","IS_PUNCT"
"606","Πατριώτης","FALSE"
"607","ἔστι","FALSE"
"608","μοι","FALSE"
"609","·","TRUE"
"610","Ἐλάνθανες","FALSE"
"611","ἄρα","FALSE"
"612","ἡμᾶς","FALSE"
"613",",","TRUE"
"614","ἔφη","FALSE"
"615",",","TRUE"
"616","βάρβαρος","FALSE"
"617","ὤν","FALSE"
"618",".","TRUE"
"619","ἄλλου","FALSE"
"620","δὲ","FALSE"
"621","εἰπόντος","FALSE"
"622",",","TRUE"
"623","Ὁ","FALSE"
"624","δεῖνά","FALSE"
"625","ἐστι","FALSE"
"626","μεθύσης","FALSE"
"627",",","TRUE"
"628","Μητρός","FALSE"
"629",",","TRUE"
"630","εἶπεν","FALSE"
"631",",","TRUE"
"632","ἢ","FALSE"
"633","πῶς","FALSE"
"634","λέγεις","FALSE"
"635",";","TRUE"
"636","ἑτέρου","FALSE"
"637","δὲ","FALSE"
"638","ἐκλελογχότας","FALSE"
"639",",","TRUE"
"640","Διπλασιάζεις","FALSE"
"641",",","TRUE"
"642","ἔφη","FALSE"
"643",",","TRUE"
"644","τοὺς","FALSE"
"645","ἐξειληχότας","FALSE"
"646",".","TRUE"
"647","εἰπόντος","FALSE"
"648","δέ","FALSE"
"649","τινος","FALSE"
"650",",","TRUE"
"651","Λῆμμα","FALSE"
"652","πάρεστιν","FALSE"
"653","αὐτῷ","FALSE"
"654",",","TRUE"
"655","διὰ","FALSE"
"656","τῶν","FALSE"
"657","δύο","FALSE"
"658","μ","FALSE"
"659",",","TRUE"
"660","Οὐκοῦν","FALSE"
"661",",","TRUE"
"662","ἔφη","FALSE"
"663",",","TRUE"
"664","λήψεται","FALSE"
"665",",","TRUE"
"666","εἰ","FALSE"
"667","λῆμμα","FALSE"
"668","αὐτῷ","FALSE"
"669","πάρεστιν","FALSE"
"670",".","TRUE"
"671","ἑτέρου","FALSE"
"672","δὲ","FALSE"
"673","εἰπόντος","FALSE"
"674",",","TRUE"
"675","Πρόσεισιν","FALSE"
"676","ὁ","FALSE"
"677","μεῖραξ","FALSE"
"678","οὑ","FALSE"
"679","μὸς","FALSE"
"680","φίλος","FALSE"
"681",",","TRUE"
"682","Ἔπειτα","FALSE"
"683",",","TRUE"
"684","ἔφη","FALSE"
"685",",","TRUE"
"686","λοιδορεῖς","FALSE"
"687","φίλον","FALSE"
"688","ὄντα","FALSE"
"689",";","TRUE"
"690","πρὸς","FALSE"
"691","δὲ","FALSE"
"692","τὸν","FALSE"
"693","εἰπόντα","FALSE"
"694",",","TRUE"
"695","Δεδίττομαι","FALSE"
"696","τὸν","FALSE"
"697","ἄνδρα","FALSE"
"698","καὶ","FALSE"
"699","φεύγω","FALSE"
"700",",","TRUE"
"701","Σύ","FALSE"
"702",",","TRUE"
"703","ἔφη","FALSE"
"704",",","TRUE"
"705","καὶ","FALSE"
"706","ὅταν","FALSE"
"707","τινὰ","FALSE"
"708","εὐλαβηθῇς","FALSE"
"709",",","TRUE"
"710","διώξῃ","FALSE"
"711",".","TRUE"
"712","ἄλλου","FALSE"
"713","δὲ","FALSE"
"714","εἰπόντος","FALSE"
"715",",","TRUE"
"716","Τῶν","FALSE"
"717","φίλων","FALSE"
"718","ὁ","FALSE"
"719","κορυφαιότατος","FALSE"
